genre,rmse,r2score
action,624772.6513600488,0.9192196110312153
adventure,1681714.152370453,0.6831831886175401
animation,511029.1222851775,0.5350934267375842
comedy,543813.4406046981,0.8740243238108327
crime,907363.9580178242,0.8161128156554813
documentry,14730.368392917771,-2.199482001154361
dramas,647225.5140892607,0.8947292197495196
family,58668.32674693321,0.8904422115037837
fantasy,415806.085653567,0.10930626964871992
historical_drama,700360.287895519,0.0606555508249349
horror,185385.68699930276,0.8412052173612246
melo_romance,497783.3562058059,0.8431612622779544
musical,54579.81845542992,
mystery,1380169.5624202807,0.5947600230554904
SF,193724.80929689508,0.1260491610087291
show,36706.90594659102,
thriller,390139.55683158746,0.8426514114608468
war,2555.7942787377688,
