title,release-time,genre,historical_drama,adventure,action,crime,fantasy,war,drama,comedy,SF,melo/romance,mystery,thriller,musical,horror,animation,documentry,western,family,show,korea,america,japan,others,national,movie_rating,num_off_screen,screen_share,fsd_num_off_box,num_off_box
명량,0,historical_drama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,8.44,1587,39.8,1410271,17613682
극한직업,1,comedy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,8.5,1978,31.4,724697,16264944
신과함께-죄와 벌,0,fantasy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,7.83,1912,30.4,824013,14410754
국제시장,0,dramas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,9.02,966,23.5,416356,14245998
어벤져스: 엔드게임,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,9.38,2835,58,2171533,13934592
베테랑,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,9.01,1064,23.9,844547,13395400
도둑들,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,7.63,1072,30.1,862614,12983330
7번방의 선물,0,comedy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,8.83,787,20.8,389656,12811206
암살,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,8.98,1519,31.4,926955,12705700
알라딘,0,adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,9.38,1311,19.9,185003,12552283
"광해, 왕이 된 남자",0,historical_drama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,9.25,810,24,419160,12319542
신과함께-인과 연,0,fantasy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,7.71,2235,40.7,2346364,12253247
택시운전사,0,dramas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,9.03,1906,33.9,1436580,12099971
부산행,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,8,1788,35.3,2101324,11565078
변호인,0,dramas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,9,923,21.9,371923,11372451
어벤져스: 인피니티 워,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,8.96,2553,49.7,1576334,11211880
어벤져스: 에이지 오브 울트론,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,8.32,1843,45.1,1275470,10494499
겨울왕국,1,animation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,America,9.13,1010,21.3,336530,10296101
인터스텔라,0,SF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,9.1,1342,33.2,572897,10273803
기생충,0,dramas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,8.48,1948,34.5,1245780,10085275
보헤미안 랩소디,0,dramas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,9.42,936,16.9,185970,9948386
검사외전,1,crime,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,7.94,1812,34.9,1006364,9699092
엑시트,0,comedy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,8.3,1660,24.2,921119,9426011
관상,1,historical_drama,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,8,1190,30.2,707445,9134586
아이언맨 3,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,8.86,1381,37.7,909838,9001309
설국열차,0,SF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,7.98,1128,26.8,1665199,8914845
캡틴 아메리카: 시빌 워,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,8.67,1991,42.9,1203236,8677249
수상한 그녀,1,dramas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,9.01,692,19.9,312601,8656397
해적: 바다로 간 산적,0,adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,8.28,838,20.3,563642,8646758
스파이더맨: 파 프롬 홈,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,8.33,2142,36.4,1236024,8020208
히말라야,0,dramas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,7.98,1009,24.5,420832,7759473
밀정,1,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,8.44,1444,25.6,566403,7487545
스파이더맨: 홈 커밍,0,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,America,8.36,1965,41.6,956898,7257973
1987,0,dramas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,9.22,1299,24,588371,7231638
베를린,1,action,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SouthKorea,7.83,894,23.4,719163,7166199
