순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1,명량,김한민,(주)빅스톤픽쳐스,,씨제이이앤엠(주),2014-07-30,개봉영화,장편,한국,1587,135748398910,17613682,"33,121,225,810","4,163,666",사극,15세이상관람가,일반영화
2,극한직업,이병헌,"(주)어바웃필름,영화사 해그림 주식회사,씨제이이앤엠(주)",,씨제이이앤엠(주),2019-01-23,개봉영화,장편,한국,1978,139647979516,16264944,"31,858,660,536","3,638,287",코미디,15세이상관람가,일반영화
3,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,1912,115698654137,14410754,"27,530,825,087","3,346,172",판타지,12세이상관람가,일반영화
4,국제시장,윤제균,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2014-12-17,개봉영화,장편,한국,966,110828014630,14245998,"25,842,519,330","3,233,946",드라마,12세이상관람가,일반영화
5,어벤져스: 엔드게임,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,개봉영화,장편,미국,2835,122182694160,13934592,"33,577,136,860","3,597,963",액션,12세이상관람가,일반영화
6,베테랑,류승완,"(주)외유내강,(주)필름케이",,씨제이이앤엠(주),2015-08-05,개봉영화,장편,한국,1064,105024756250,13395400,"26,766,369,950","3,290,366",액션,15세이상관람가,일반영화
7,도둑들,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,개봉영화,장편,한국,1072,93665568500,12983330,"26,089,426,500","3,468,906",액션,15세이상관람가,일반영화
8,7번방의 선물,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787,91431914670,12811206,"22,800,931,670","3,070,053",코미디,15세이상관람가,일반영화
9,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,개봉영화,장편,한국,1519,98463132781,12705700,"25,306,651,181","3,155,960",액션,15세이상관람가,일반영화
10,알라딘,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,개봉영화,장편,미국,1311,106955138359,12552283,"30,198,375,039","3,374,837",어드벤처,전체관람가,일반영화
11,"광해, 왕이 된 남자",추창민,"리얼라이즈픽쳐스(주),씨제이이앤엠(주)",,씨제이이앤엠(주),2012-09-13,개봉영화,장편,한국,810,88900208769,12319542,"25,192,804,727","3,355,700",사극,15세이상관람가,일반영화
12,신과함께-인과 연,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,2235,102476768809,12253247,"22,905,551,759","2,636,542",판타지,12세이상관람가,일반영화
13,택시운전사,장훈,더램프(주),,(주)쇼박스,2017-08-02,개봉영화,장편,한국,1906,95284747049,12099971,"22,186,916,199","2,729,932",드라마,15세이상관람가,일반영화
14,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,1788,93175877048,11565078,"23,020,827,248","2,754,686",액션,15세이상관람가,일반영화
15,변호인,양우석,위더스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,82856578300,11372451,"22,571,929,000","2,978,688",드라마,15세이상관람가,일반영화
16,어벤져스: 인피니티 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,개봉영화,장편,미국,2553,99919006769,11211880,"28,631,269,069","3,008,819",액션,12세이상관람가,일반영화
17,어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",2015-04-23,개봉영화,장편,미국,1843,88582586366,10494499,"25,001,906,266","2,823,388",액션,12세이상관람가,일반영화
18,겨울왕국,"크리스 벅,제니퍼 리",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,개봉영화,장편,미국,1010,82461504400,10296101,"25,847,243,500","3,003,446",애니메이션,전체관람가,일반영화
19,인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-11-06,개봉영화,장편,미국,1342,82274331200,10273803,"25,500,349,600","3,079,036",SF,12세이상관람가,일반영화
20,기생충,봉준호,(주)바른손이앤에이,,씨제이이앤엠(주),2019-05-30,개봉영화,장편,한국,1948,85883963645,10085275,"23,443,568,915","2,692,855",드라마,15세이상관람가,일반영화
21,보헤미안 랩소디,브라이언 싱어,,이십세기폭스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2018-10-31,개봉영화,장편,미국,936,86280975785,9948386,"27,849,793,695","3,097,336",드라마,12세이상관람가,일반영화
