title,genre,national,num_off_box,true_num_off_box,차이 ,,,,,
어벤져스: 인피니티 워,action,America,10659733,11211880,552147,,,,,
수상한 그녀,dramas,SouthKorea,7658728,8656397,997669,,,,,
해적: 바다로 간 산적,adventure,SouthKorea,4786588,8646758,3860170,,,,,
베를린,action,SouthKorea,6273369,7166199,892830,,,,,
터널,dramas,SouthKorea,4716581,7118592,2402011,,,,,
럭키,comedy,SouthKorea,6842332,6965706,123374,,,,,
곡성,mystery,SouthKorea,10055370,6878264,3177106,,,,,
범죄도시,crime,SouthKorea,8929261,6851297,2077964,,,,,
미션 임파서블: 로그네이션,action,America,5226927,6126488,899561,,,,,
감시자들,crime,SouthKorea,4032848,5496547,1463699,,,,,
닥터 스트레인지,action,America,6831644,5446379,1385265,,,,,
블랙 팬서,action,America,5196522,5398994,202472,,,,,
월드 워 Z,dramas,America,4199281,5237525,1038244,,,,,
아쿠아맨,action,America,2103304,5038134,2934830,,,,,
어메이징 스파이더맨,action,America,4506003,4853123,347120,,,,,
범죄와의 전쟁: 나쁜놈들 전성시대,crime,SouthKorea,3974068,4710454,736386,,,,,
아가씨,thriller,SouthKorea,2784042,4277071,1493029,,,,,
건축학개론,melo/romance,SouthKorea,2589985,4110645,1520660,,,,,
꾼,crime,SouthKorea,3509501,4018341,508840,,,,,
캡틴 아메리카: 윈터 솔져,action,America,3219611,3963220,743609,,,,,
베놈,action,America,4831648,3888096,943552,,,,,
코코,animation,America,2631955,3510017,878062,,,,,
스파이,action,SouthKorea,2503647,3423920,920273,,,,,
그것만이 내 세상,comedy,SouthKorea,2660996,3417629,756633,,,,,
토이 스토리 4,animation,America,7242155,3399913,3842242,,,,,
돈,crime,SouthKorea,3505358,3389035,116323,,,,,
맨 인 블랙 3,action,America,3575460,3379762,195698,,,,,
스타워즈: 깨어난 포스,action,America,2376302,3273879,897577,,,,,
탐정: 리턴즈,comedy,SouthKorea,4758481,3148038,1610443,,,,,
나우 유 씨 미 2,crime,America,2875551,3100113,224562,,,,,
서치,dramas,America,1580189,2949944,1369755,,,,,
엑스맨: 아포칼립스,action,America,3363337,2938818,424519,,,,,
메이즈 러너: 스코치 트라이얼,action,America,2409683,2744413,334730,,,,,
트랜스포머: 최후의 기사,action,America,2338385,2614601,276216,,,,,
아수라,crime,SouthKorea,4777267,2594028,2183239,,,,,
정글북,adventure,America,2324186,2532051,207865,,,,,
007 스카이폴,action,America,3279777,2376145,903632,,,,,
호빗: 스마우그의 폐허,adventure,America,3211248,2282744,928504,,,,,
강남 1970,action,SouthKorea,1486157,2192172,706015,,,,,
인투 더 스톰,action,America,1334085,2078492,744407,,,,,S
컨저링 2,horror,America,1246576,1926201,679625,,,,,
터보,animation,America,1811566,1923748,112182,,,,,
수어사이드 스쿼드,action,America,1601046,1898121,297075,,,,,
마약왕,crime,SouthKorea,2009215,1864076,145139,,,,,
코리아,dramas,SouthKorea,1800828,1857392,56564,,,,,
집으로 가는 길,dramas,SouthKorea,3099091,1854625,1244466,,,,,
분노의 질주: 더 맥시멈,action,America,2418734,1790457,628277,,,,,
대호,historical_drama,SouthKorea,2846693,1762742,1083951,,,,,
주먹왕 랄프 2: 인터넷 속으로,animation,America,2727743,1754375,973368,,,,,
