title,release-time,genre,national,total_revenue,movie_rating,num_off_screen,screen_share,fsd_num_off_box,num_off_box
명량,2014.7.30,historical_drama,SouthKorea,136000000000.0,8.44,1587,39.8,1410271,17613682
극한직업,2019.1.23,comedy,SouthKorea,140000000000.0,8.5,1978,31.4,724697,16264944
신과함께-죄와 벌,2017.12.20,fantasy,SouthKorea,116000000000.0,7.83,1912,30.4,824013,14410754
국제시장,2014.12.17,dramas,SouthKorea,111000000000.0,9.02,966,23.5,416356,14245998
어벤져스: 엔드게임,2019.4.24,action,America,122000000000.0,9.38,2835,58.0,2171533,13934592
베테랑,2015.8.5,action,SouthKorea,105000000000.0,9.01,1064,23.9,844547,13395400
도둑들,2012.7.25,action,SouthKorea,93665568500.0,7.63,1072,30.1,862614,12983330
7번방의 선물,2013.1.23,comedy,SouthKorea,91431914670.0,8.83,787,20.8,389656,12811206
암살,2015.7.22,action,SouthKorea,98463132781.0,8.98,1519,31.4,926955,12705700
알라딘,2019.5.23,adventure,America,107000000000.0,9.38,1311,19.9,185003,12552283
"광해, 왕이 된 남자",2012.9.13,historical_drama,SouthKorea,88900208769.0,9.25,810,24.0,419160,12319542
신과함께-인과 연,2018.8.1,fantasy,SouthKorea,102000000000.0,7.71,2235,40.7,2346364,12253247
택시운전사,2017.8.2,dramas,SouthKorea,95284747049.0,9.03,1906,33.9,1436580,12099971
부산행,2016.7.20,action,SouthKorea,93175877048.0,8.0,1788,35.3,2101324,11565078
변호인,2013.12.18,dramas,SouthKorea,82856578300.0,9.0,923,21.9,371923,11372451
어벤져스: 인피니티 워,2018.4.25,action,America,99919006769.0,8.96,2553,49.7,1576334,11211880
어벤져스: 에이지 오브 울트론,2015.4.23,action,America,88582586366.0,8.32,1843,45.1,1275470,10494499
겨울왕국,2014.1.16,animation,America,82461504400.0,9.13,1010,21.3,336530,10296101
인터스텔라,2014.11.6,SF,America,82274331200.0,9.1,1342,33.2,572897,10273803
기생충,2019.5.30,dramas,SouthKorea,85883963645.0,8.48,1948,34.5,1245780,10085275
보헤미안 랩소디,2018.10.31,dramas,America,86280975785.0,9.42,936,16.9,185970,9948386
검사외전,2016.2.3,crime,SouthKorea,77252755264.0,7.94,1812,34.9,1006364,9699092
엑시트,2019.7.31,comedy,SouthKorea,79232012162.0,8.3,1660,24.2,921119,9426011
관상,2013.9.11,historical_drama,SouthKorea,66005451500.0,8.0,1190,30.2,707445,9134586
아이언맨 3,2013.4.25,action,America,70806191000.0,8.86,1381,37.7,909838,9001309
설국열차,2013.8.1,SF,SouthKorea,64016480000.0,7.98,1128,26.8,1665199,8914845
캡틴 아메리카: 시빌 워,2016.4.27,action,America,72672111827.0,8.67,1991,42.9,1203236,8677249
수상한 그녀,2014.1.22,dramas,SouthKorea,62696639249.0,9.01,692,19.9,312601,8656397
해적: 바다로 간 산적,2014.8.6,adventure,SouthKorea,66240631706.0,8.28,838,20.3,563642,8646758
스파이더맨: 파 프롬 홈,2019.7.2,action,America,69000711100.0,8.33,2142,36.4,1236024,8020208
히말라야,2015.12.16,dramas,SouthKorea,60173583015.0,7.98,1009,24.5,420832,7759473
밀정,2016.9.7,action,SouthKorea,61158644831.0,8.44,1444,25.6,566403,7487545
스파이더맨: 홈 커밍,2017.7.5,action,America,59120173820.0,8.36,1965,41.6,956898,7257973
1987,2017.12.27,dramas,SouthKorea,58165581145.0,9.22,1299,24.0,588371,7231638
베를린,2013.1.30,action,SouthKorea,52354931637.0,7.83,894,23.4,719163,7166199
터널,2016.8.10,dramas,SouthKorea,57510324417.0,8.37,1105,19.0,760172,7118592
어벤져스,2012.4.26,action,America,59557853478.0,8.8,967,30.8,567603,7074867
내부자들,2015.11.19,crime,SouthKorea,56596582057.0,9.0,1075,26.3,628251,7071763
인천상륙작전,2016.7.27,war,SouthKorea,55101410303.0,8.03,1049,21.7,831671,7049643
럭키,2016.10.13,comedy,SouthKorea,56361435256.0,8.45,1158,21.9,675721,6965706
은밀하게 위대하게,2013.6.5,action,SouthKorea,48663939413.0,7.12,1341,32.8,1426796,6953800
곡성,2016.5.12,mystery,SouthKorea,55853108382.0,7.61,1485,32.2,896217,6878264
범죄도시,2017.10.3,crime,SouthKorea,56077813249.0,9.14,1315,22.6,401265,6851297
늑대소년,2012.10.31,melo/romance,SouthKorea,46593107500.0,8.65,706,23.7,264172,6654837
군함도,2017.7.26,action,SouthKorea,50510565168.0,5.29,2027,37.5,1553257,6592151
미션 임파서블: 폴아웃,2018.7.25,action,America,55888375112.0,9.12,1957,33.6,995022,6584915
다크 나이트 라이즈,2012.7.19,action,America,47644838000.0,9.02,1210,34.6,945093,6396528
사도,2015.9.16,historical_drama,SouthKorea,48842902501.0,8.27,1210,30.4,488073,6246849
미션 임파서블: 로그네이션,2015.7.30,action,America,48547353607.0,8.75,1202,28.4,971976,6126488
킹스맨 : 시크릿 에이전트,2015.2.11,action,America,50333635795.0,8.82,706,13.6,166155,6125154
연평해전,2015.6.24,dramas,SouthKorea,45560620330.0,9.01,1013,23.0,332907,6043458
레미제라블,2012.12.19,dramas,America,43044999000.0,8.38,696,17.5,476848,5911890
캡틴 마블,2019.3.6,action,America,51491272223.0,6.75,2100,40.0,312694,5801069
쥬라기 월드: 폴른 킹덤,2018.6.6,action,America,49770711037.0,8.0,1972,37.4,1415944,5661128
청년경찰,2017.8.9,action,SouthKorea,44241099316.0,8.26,1102,19.6,622354,5636259
숨바꼭질,2013.8.14,thriller,SouthKorea,39593038500.0,6.77,779,19.2,772980,5602543
덕혜옹주,2016.8.3,historical_drama,SouthKorea,44344141109.0,8.35,964,18.2,536089,5593551
더 테러 라이브,2013.7.31,crime,SouthKorea,39866712881.0,8.28,743,18.5,641187,5583596
쥬라기 월드,2015.6.11,action,America,47800698826.0,7.88,1290,32.6,587590,5546792
감시자들,2013.7.3,crime,SouthKorea,39298005179.0,7.76,949,25.8,435800,5496547
앤트맨과 와스프,2018.7.4,action,America,47465443185.0,8.62,1775,33.6,706595,5447826
닥터 스트레인지,2016.10.26,action,America,47482530396.0,8.71,1503,33.4,782065,5446379
검은 사제들,2015.11.5,mystery,SouthKorea,42395347092.0,8.32,1088,23.5,471363,5440945
안시성,2018.9.19,historical_drama,SouthKorea,46335334026.0,7.99,1540,24.8,281160,5440186
블랙 팬서,2018.2.14,action,America,45883143457.0,7.5,1620,27.3,1197339,5398994
트랜스포머: 사라진 시대,2014.6.25,action,America,44012272845.0,6.58,1602,42.4,786762,5295801
완벽한 타인,2018.10.31,dramas,SouthKorea,44356752474.0,8.61,1313,24.3,491441,5294119
월드 워 Z,2013.6.20,dramas,America,38555357000.0,8.23,964,27.1,526104,5237525
타워,2012.12.25,dramas,SouthKorea,37654858000.0,8.04,617,16.8,688069,5181014
미녀와 야수,2017.3.16,melo/romance,America,42130589579.0,8.78,1627,29.9,404384,5137993
독전,2018.5.22,crime,SouthKorea,43484892913.0,7.52,1357,24.0,544793,5063620
아쿠아맨,2018.12.19,action,America,44113456704.0,8.35,1285,18.2,283820,5038134
공작,2018.8.8,dramas,SouthKorea,42759410176.0,6.84,1317,22.2,641574,4971261
인사이드 아웃,2015.7.9,animation,America,38015586936.0,9.08,777,18.6,166315,4968687
킹스맨: 골든 서클,2017.9.27,action,America,40987484736.0,8.37,1687,31.5,766220,4945484
마스터,2016.12.21,action,SouthKorea,39811539665.0,8.1,1501,29.2,763624,4940091
바람과 함께 사라지다,2012.8.8,comedy,SouthKorea,34524377161.0,7.59,694,17.9,381687,4897551
마션,2015.10.8,action,America,39612764295.0,8.42,1132,25.5,821873,4875494
토르: 라그나로크,2017.10.25,action,America,39248432595.0,8.84,1640,29.7,635475,4857152
어메이징 스파이더맨,2012.6.28,action,America,41163951235.0,7.75,1118,32.4,562337,4853123
군도: 민란의 시대,2014.7.23,historical_drama,SouthKorea,36987755999.0,6.94,1394,37.2,984932,4774895
라이온 킹,2019.7.17,adventure,America,41518977430.0,8.27,1936,32.5,544742,4743184
범죄와의 전쟁: 나쁜놈들 전성시대,2012.2.2,crime,SouthKorea,36479147500.0,8.64,699,19.7,368922,4710454
주토피아,2016.2.17,animation,America,37077444042.0,9.36,661,13.1,92938,4703245
엣지 오브 투모로우,2014.6.4,action,America,38703942201.0,8.95,801,19.5,704537,4697142
신세계,2013.2.21,crime,SouthKorea,34881330905.0,8.93,671,17.5,371788,4682492
신비한 동물사전,2016.11.16,adventure,America,39337263058.0,8.18,1431,26.8,519347,4666993
내 아내의 모든 것,2012.5.17,comedy,SouthKorea,34222160500.0,8.57,563,17.2,311918,4598583
연가시,2012.7.5,horror,SouthKorea,32154766664.0,7.17,759,20.6,453529,4513026
강철비,2017.12.14,action,SouthKorea,35477912466.0,8.33,1426,23.5,542015,4451336
엑스맨: 데이즈 오브 퓨처 패스트,2014.5.22,action,America,34654558766.0,8.88,1056,25.6,583442,4313871
판도라,2016.12.7,dramas,SouthKorea,33861718164.0,8.24,1166,21.6,337955,4302032
아가씨,2016.6.1,thriller,SouthKorea,35114332791.0,7.14,1171,23.1,560763,4277071
어메이징 스파이더맨 2,2014.4.23,action,America,34869056800.0,7.76,1312,31.1,372226,4168350
용의자,2013.12.24,action,SouthKorea,30037161000.0,8.37,807,18.2,858809,4131248
건축학개론,2012.3.22,melo/romance,SouthKorea,30219800500.0,8.67,593,18.6,251036,4110645
댄싱퀸,2012.1.18,comedy,SouthKorea,30129259500.0,8.87,534,14.5,125658,4057546
꾼,2017.11.22,crime,SouthKorea,31313568795.0,7.62,1314,23.1,476856,4018341
혹성탈출: 반격의 서막,2014.7.10,action,America,31509793095.0,8.53,922,23.6,460349,4002134
타짜-신의 손,2014.9.3,dramas,SouthKorea,32267244827.0,7.26,890,18.7,356260,4001813
쿵푸팬더3,2016.1.28,animation,America,31340798156.0,8.63,1365,27.2,439576,3984812
캡틴 아메리카: 윈터 솔져,2014.3.26,action,America,31710585385.0,8.93,1106,28.4,303558,3963220
박수건달,2013.1.9,comedy,SouthKorea,28343986569.0,8.11,599,15.4,232924,3893216
베놈,2018.10.3,action,America,34100211207.0,7.9,1308,23.3,922666,3888096
조선명탐정 : 사라진 놉의 딸,2015.2.11,historical_drama,SouthKorea,30456879428.0,7.67,811,16.7,231929,3872015
역린,2014.4.30,historical_drama,SouthKorea,29893297890.0,7.08,1054,27.1,653407,3849433
매드 맥스: 분노의 도로,2015.5.14,action,America,32906364462.0,8.8,799,20.0,241379,3842441
남한산성,2017.10.3,historical_drama,SouthKorea,31067321992.0,8.09,1229,21.7,1026225,3829891
데드풀 2,2018.5.16,action,America,34185664639.0,8.69,1576,30.4,617729,3784602
암수살인,2018.10.3,crime,SouthKorea,32855895548.0,8.33,1177,22.6,616749,3772620
국가부도의 날,2018.11.28,dramas,SouthKorea,30891765837.0,8.13,1180,20.9,502119,3754983
미이라,2017.6.6,action,America,30504689978.0,7.24,1257,24.7,1088274,3689325
분노의 질주: 더 익스트림,2017.4.12,action,America,29981156348.0,8.96,1469,25.6,371370,3653238
너의 이름은.,2017.1.4,animation,Japan,29248867156.0,8.78,947,14.6,344730,3637122
인턴,2015.9.24,comedy,America,28518443148.0,9.0,496,12.4,138897,3610642
라라랜드,2016.12.7,dramas,America,30006844694.0,8.61,727,14.9,136302,3597193
귀향,2016.2.24,dramas,SouthKorea,27245051990.0,9.16,876,15.1,303970,3586523
신의 한 수,2014.7.3,crime,SouthKorea,28777712256.0,8.03,794,20.3,456881,3562123
코코,2018.1.11,animation,America,27685479440.0,9.3,1177,19.2,232232,3510017
부러진 화살,2012.1.18,dramas,SouthKorea,25878110500.0,8.92,453,12.9,94509,3450941
끝까지 간다,2014.5.29,action,SouthKorea,27006007900.0,9.02,645,16.3,213450,3450143
스파이,2013.9.5,action,SouthKorea,24436429305.0,6.94,785,21.9,330322,3423920
그것만이 내 세상,2018.1.17,comedy,SouthKorea,27441213382.0,8.92,862,15.3,262496,3417629
토이 스토리 4,2019.6.20,animation,America,28757726040.0,9.02,1336,20.8,303389,3399913
돈,2019.3.20,crime,SouthKorea,28869614062.0,7.41,1431,27.0,425005,3389035
맨 인 블랙 3,2012.5.24,action,America,27301520070.0,8.19,770,24.6,344756,3379762
어바웃 타임,2013.12.5,melo/romance,England,24867023000.0,9.18,568,13.0,187075,3375735
